"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern"
"anatomicalSite","The anatomical site, i.e., location on or within the body, from which the biospecimen was collected. This attribute is required depending on the value selected for biospecimenType.","Abdominal segment of body wall, Achilles region, Acromial part of left shoulder, Acromial part of right shoulder, Acromial region of shoulder, Acromioclavicular joint, Ala of nose, Angle of mouth, Ankle, Ankle joint, Anterior axillary fold, Anterior axillary line region of trunk, Anterior part of ankle, Anterior part of elbow, Anterior part of floor of mouth, Anterior part of knee, Anterior part of left ankle, Anterior part of left elbow, Anterior part of left knee, Anterior part of left wrist, Anterior part of right ankle, Anterior part of right elbow, Anterior part of right knee, Anterior part of right wrist, Anterior part of wrist, Anterior part proper of knee, Anterior part proper of left knee, Anterior part proper of right knee, Anterior region of face, Anterior wall of external acoustic tube, Anterior wall of left external acoustic tube, Anterior wall of right external acoustic tube, Anterolateral part of elbow, Anterolateral part of knee, Anterolateral part of neck, Anteromedial part of elbow, Anteromedial part of knee, Antihelix, Antitragus, Apex of left pinna, Apex of pinna, Apex of right pinna, Auricular part of head, Auriculotemporal part of head, Axilla, Axilla proper, Axillary fold, Back, Back of abdomen, Back of body proper, Back of free lower limb, Back of free upper limb, Back of left lower limb, Back of left upper limb, Back of lower limb, Back of lower thorax, Back of neck, Back of pelvis, Back of right lower limb, Back of right upper limb, Back of thorax, Back of upper limb, Back of upper thorax, Base of axilla, Base of left axilla, Base of right axilla, Body wall, Buttock, Calcaneocuboid joint, Cardinal free limb region, Carpometacarpal joint, Carpometacarpal joint of left thumb, Carpometacarpal joint of right thumb, Carpometacarpal joint of thumb, Cerebral part of head, Cerebral part proper of head, Cervicothoracic region, Cervicothoracic region of back, Cheek, Cheek proper, Chin, Chirocarpal region, Coccygeal region of back, Columella, Concha proper of left pinna, Concha proper of pinna, Concha proper of right pinna, Conchal part of left pinna, Conchal part of pinna, Conchal part of right pinna, Crown of head, Crus of helix, Crus of left helix, Crus of right helix, Cuboideonavicular joint, Cuneocuboid joint, Cuneonavicular joint, Cymba conchae of left pinna, Cymba conchae of pinna, Cymba conchae of right pinna, Deltoid part of left shoulder, Deltoid part of right shoulder, Deltoid region of shoulder, Digit, Distal free limb region, Distal free lower limb region, Distal free upper limb region, Distal interphalangeal joint of finger, Distal interphalangeal joint of fourth toe, Distal interphalangeal joint of index finger, Distal interphalangeal joint of left fourth toe, Distal interphalangeal joint of left index finger, Distal interphalangeal joint of left little finger, Distal interphalangeal joint of left little toe, Distal interphalangeal joint of left middle finger, Distal interphalangeal joint of left ring finger, Distal interphalangeal joint of left second toe, Distal interphalangeal joint of left third toe, Distal interphalangeal joint of lesser toe, Distal interphalangeal joint of little finger, Distal interphalangeal joint of little toe, Distal interphalangeal joint of middle finger, Distal interphalangeal joint of right fourth toe, Distal interphalangeal joint of right index finger, Distal interphalangeal joint of right little finger, Distal interphalangeal joint of right little toe, Distal interphalangeal joint of right middle finger, Distal interphalangeal joint of right ring finger, Distal interphalangeal joint of right second toe, Distal interphalangeal joint of right third toe, Distal interphalangeal joint of ring finger, Distal interphalangeal joint of second toe, Distal interphalangeal joint of third toe, Distal interphalangeal joint of toe, Distal radio-ulnar joint, Distal segment of left wrist, Distal segment of right wrist, Distal segment of wrist, Dorsum of nose, Ear, Elbow, Elbow crease, Elbow joint, External acoustic tube, External ear, External mandibular part of mouth, External nose, External part of external acoustic tube, External part of left external acoustic tube, External part of mouth, External part of right external acoustic tube, Extra-articular region of shoulder, Eye, Eyebrow region, Eyelid, Eyelid complex, Face, Fifth carpometacarpal joint, Fifth tarsometatarsal joint, First intermetatarsal joint, First tarsometatarsal joint, Floor of mouth, Forehead, Fossa of antihelix, Fossa of left antihelix, Fossa of right antihelix, Fourth carpometacarpal joint, Fourth intermetatarsal joint, Fourth tarsometatarsal joint, Free limb, Free limb region, Free lower limb, Free lower limb region, Free upper limb, Free upper limb region, Front of body proper, Front of free upper limb, Front of left lower limb, Front of left upper limb, Front of lower limb, Front of neck, Front of right lower limb, Front of right upper limb, Front of upper limb, Frontal part of head, Frontal part proper of head, Glenohumeral joint, Glosso-epiglottic region of mouth, Greater trochanteric region of hip, Groove of philtrum proper, Head proper, Helix, Hip, Hip joint, Humeroradial joint, Humeroulnar joint, Inferior part of back of neck, Inferior wall of external acoustic tube, Inferior wall of left external acoustic tube, Inferior wall of right external acoustic tube, Inferolateral region of buttock, Inferolateral region of left buttock, Inferolateral region of right buttock, Inferomedial region of buttock, Inferomedial region of left buttock, Inferomedial region of right buttock, Infra-orbital part of cheek, Infra-orbital part of left cheek, Infra-orbital part of right cheek, Infrascapular part of back, Inner part of external acoustic tube, Inner part of left external acoustic tube, Inner part of right external acoustic tube, Intercarpal joint, Intercuneiform joint, Intermetacarpal joint, Intermetacarpal joint of fourth and fifth metacarpal bones, Intermetacarpal joint of left fourth and fifth metacarpal bones, Intermetacarpal joint of left second and third metacarpal bones, Intermetacarpal joint of left third and fourth metacarpal bones, Intermetacarpal joint of right fourth and fifth metacarpal bones, Intermetacarpal joint of right second and third metacarpal bones, Intermetacarpal joint of right third and fourth metacarpal bones, Intermetacarpal joint of second and third metacarpal bones, Intermetacarpal joint of third and fourth metacarpal bones, Intermetatarsal joint, Internal part of mouth, Interphalangeal joint, Interphalangeal joint of big toe, Interphalangeal joint of finger, Interphalangeal joint of fourth toe, Interphalangeal joint of index finger, Interphalangeal joint of left big toe, Interphalangeal joint of left fourth toe, Interphalangeal joint of left little toe, Interphalangeal joint of left second toe, Interphalangeal joint of left third toe, Interphalangeal joint of left thumb, Interphalangeal joint of little finger, Interphalangeal joint of little toe, Interphalangeal joint of middle finger, Interphalangeal joint of right big toe, Interphalangeal joint of right fourth toe, Interphalangeal joint of right little toe, Interphalangeal joint of right second toe, Interphalangeal joint of right third toe, Interphalangeal joint of right thumb, Interphalangeal joint of ring finger, Interphalangeal joint of second toe, Interphalangeal joint of third toe, Interphalangeal joint of thumb, Interphalangeal joint of toe, Interscapular part of back, Intertarsal joint, Isthmus of external acoustic tube, Isthmus of left external acoustic meatus, Isthmus of right external acoustic meatus, Knee, Knee crease, Knee joint, Labial part of mouth, Lateral crest of philtrum, Lateral half of back, Lateral half of back of thorax, Lateral half of chin, Lateral half of external nose, Lateral half of face, Lateral half of lumbar region of back, Lateral half of nose, Lateral half of thoracic segment of trunk, Lateral half of trunk, Lateral half of upper lip, Lateral malleolar part of ankle, Lateral malleolar part of left ankle, Lateral malleolar part of right ankle, Lateral part of ankle, Lateral part of cheek, Lateral part of elbow, Lateral part of floor of mouth, Lateral part of knee, Lateral part of left cheek, Lateral part of left elbow, Lateral part of left knee, Lateral part of lower limb, Lateral part of lower lip, Lateral part of neck, Lateral part of right cheek, Lateral part of right elbow, Lateral part of right knee, Lateral region of trunk, Lateral retromalleolar region, Lateral wall of external nose, Lateral-intermediate intercuneiform joint, Left acromioclavicular joint, Left ala of nose, Left angle of mouth, Left ankle, Left ankle joint, Left antihelix, Left antitragus, Left auricular part of head, Left auriculotemporal part of head, Left axilla, Left axilla proper, Left buttock, Left calcaneocuboid joint, Left cheek, Left cheek proper, Left chirocarpal region, Left cuboideonavicular joint, Left cuneocuboid joint, Left cuneonavicular joint, Left distal radio-ulnar joint, Left ear, Left elbow, Left elbow joint, Left external acoustic tube, Left external ear, Left eye, Left fifth carpometacarpal joint, Left fifth tarsometatarsal joint, Left first intermetatarsal joint, Left first tarsometatarsal joint, Left fourth carpometacarpal joint, Left fourth intermetatarsal joint, Left fourth tarsometatarsal joint, Left free lower limb, Left free upper limb, Left glenohumeral joint, Left half of front of neck, Left half of inferior part of back of neck, Left helix, Left hip, Left hip joint, Left humeroradial joint, Left humeroulnar joint, Left infrascapular part of back, Left intercuneiform joint, Left intertarsal joint, Left knee, Left knee joint, Left lateral crest of philtrum, Left lateral half of external nose, Left lateral half of face, Left lateral half of nose, Left lateral half of trunk, Left lateral part of neck, Left lateral retromalleolar region, Left lateral-intermediate intercuneiform joint, Left lower eyelid, Left mandibular part proper of mouth, Left mastoid part of head, Left medial retromalleolar region, Left medial-intermediate intercuneiform joint, Left midcarpal joint, Left nasal sill, Left olecranon region, Left paravertebral region of back of neck, Left parietal part of head, Left parietal wall of head proper, Left patellofemoral joint, Left peri-orbital region of face, Left pinna, Left pisiform joint, Left pisotriquetral joint, Left proximal radio-ulnar joint, Left retro-auricular part of head, Left sacroiliac joint, Left scapular part of back, Left second carpometacarpal joint, Left second intermetatarsal joint, Left second tarsometatarsal joint, Left shoulder, Left side of chin, Left side of head, Left side of lower lip, Left side of lower lip proper, Left side of maxillary alveolodental arch, Left side of upper lip, Left side of upper lip proper, Left sternoclavicular joint, Left supra-auricular part of head, Left supratragic tubercle, Left talocalcaneal joint, Left talocalcaneonavicular joint, Left tarsometatarsal joint, Left temple, Left temporal part of head, Left temporal part proper of head, Left third carpometacarpal joint, Left third intermetatarsal joint, Left third tarsometatarsal joint, Left tibiofemoral joint, Left tragus, Left transverse tarsal joint, Left upper eyelid, Left wrist, Left wrist joint, Limb region, Lip, Lip proper, Lobule of left pinna, Lobule of pinna, Lobule of right pinna, Lower eyelid, Lower lip, Lower lip proper, Lower part of back of thorax, Lumbar region of back, Lumbosacral region of back, Malleolar part of ankle, Mandibular part of mouth, Mandibular part proper of mouth, Mastoid part of head, Medial malleolar part of ankle, Medial malleolar part of left ankle, Medial malleolar part of right ankle, Medial part of ankle, Medial part of elbow, Medial part of knee, Medial part of left knee, Medial part of lower limb, Medial part of right knee, Medial retromalleolar region, Medial-intermediate intercuneiform joint, Metacarpophalangeal joint, Metacarpophalangeal joint of index finger, Metacarpophalangeal joint of left index finger, Metacarpophalangeal joint of left little finger, Metacarpophalangeal joint of left middle finger, Metacarpophalangeal joint of left ring finger, Metacarpophalangeal joint of left thumb, Metacarpophalangeal joint of little finger, Metacarpophalangeal joint of middle finger, Metacarpophalangeal joint of right index finger, Metacarpophalangeal joint of right little finger, Metacarpophalangeal joint of right middle finger, Metacarpophalangeal joint of right ring finger, Metacarpophalangeal joint of right thumb, Metacarpophalangeal joint of ring finger, Metacarpophalangeal joint of thumb, Metatarsophalangeal joint, Metatarsophalangeal joint of big toe, Metatarsophalangeal joint of fourth toe, Metatarsophalangeal joint of left big toe, Metatarsophalangeal joint of left fourth toe, Metatarsophalangeal joint of left little toe, Metatarsophalangeal joint of left second toe, Metatarsophalangeal joint of left third toe, Metatarsophalangeal joint of lesser toe, Metatarsophalangeal joint of little toe, Metatarsophalangeal joint of right big toe, Metatarsophalangeal joint of right fourth toe, Metatarsophalangeal joint of right little toe, Metatarsophalangeal joint of right second toe, Metatarsophalangeal joint of right third toe, Metatarsophalangeal joint of second toe, Metatarsophalangeal joint of third toe, Midaxillary line region of trunk, Midcarpal joint, Middle free limb region, Middle free lower limb region, Middle free upper limb region, Middle interphalangeal joint of finger, Middle part of external acoustic tube, Middle part of left external acoustic tube, Middle part of lower lip, Middle part of right external acoustic tube, Midface, Midline region of external nose, Milkline region of trunk, Mouth, Nasal sill, Nasomaxillary part of face, Neck, Nose, Obverse part of pinna, Occipital part of head, Occipital wall of head proper, Olecranon region, Paravertebral part of back of abdomen, Paravertebral region of back of neck, Parietal part of head, Parietal wall of head proper, Patellar part of knee, Patellar part of left knee, Patellar part of right knee, Patellofemoral joint, Pectoral girdle region, Pectoral part of left shoulder, Pectoral part of right shoulder, Pectoral region of shoulder, Peri-orbital region of face, Perinasal region of lateral half of face, Philtrum, Philtrum proper, Pinna, Pisiform joint, Pisotriquetral joint, Popliteal part of knee, Popliteal part of left knee, Popliteal part of right knee, Posterior axillary fold, Posterior axillary line region of trunk, Posterior body wall, Posterior part of ankle, Posterior part of elbow, Posterior part of floor of mouth, Posterior part of left ankle, Posterior part of left elbow, Posterior part of left wrist, Posterior part of right ankle, Posterior part of right elbow, Posterior part of right wrist, Posterior part of wrist, Posterior part proper of elbow, Posterior part proper of left elbow, Posterior part proper of right elbow, Posterior wall of external acoustic tube, Posterior wall of left external acoustic tube, Posterior wall of right external acoustic tube, Posterolateral part of elbow, Posterolateral part of knee, Posterolateral part of neck, Posteromedial part of elbow, Posteromedial part of knee, Pre-auricular part of cheek, Pre-auricular part of left cheek, Pre-auricular part of right cheek, Presacral region of pelvis, Proximal free limb region, Proximal free lower limb region, Proximal free upper limb region, Proximal interphalangeal joint of finger, Proximal interphalangeal joint of fourth toe, Proximal interphalangeal joint of index finger, Proximal interphalangeal joint of left fourth toe, Proximal interphalangeal joint of left index finger, Proximal interphalangeal joint of left little finger, Proximal interphalangeal joint of left little toe, Proximal interphalangeal joint of left middle finger, Proximal interphalangeal joint of left ring finger, Proximal interphalangeal joint of left second toe, Proximal interphalangeal joint of left third toe, Proximal interphalangeal joint of lesser toe, Proximal interphalangeal joint of little finger, Proximal interphalangeal joint of little toe, Proximal interphalangeal joint of middle finger, Proximal interphalangeal joint of right fourth toe, Proximal interphalangeal joint of right index finger, Proximal interphalangeal joint of right little finger, Proximal interphalangeal joint of right little toe, Proximal interphalangeal joint of right middle finger, Proximal interphalangeal joint of right ring finger, Proximal interphalangeal joint of right second toe, Proximal interphalangeal joint of right third toe, Proximal interphalangeal joint of ring finger, Proximal interphalangeal joint of second toe, Proximal interphalangeal joint of third toe, Proximal interphalangeal joint of toe, Proximal radio-ulnar joint, Proximal segment of left wrist, Proximal segment of right wrist, Proximal segment of wrist, Quadrant of buttock, Radio-ulnar joint, Radiocarpal joint, Region of ankle, Region of anterior part of elbow, Region of buttock, Region of elbow, Region of knee, Region of labial part of mouth, Region of lower lip, Region of lower lip proper, Region of philtrum, Region of posterior part of elbow, Region of upper lip, Region of upper lip proper, Region of vermilion, Renal region of back, Retro-auricular part of head, Right acromioclavicular joint, Right ala of nose, Right angle of mouth, Right ankle, Right ankle joint, Right antihelix, Right antitragus, Right auricular part of head, Right auriculotemporal part of head, Right axilla, Right axilla proper, Right buttock, Right calcaneocuboid joint, Right cheek, Right cheek proper, Right chirocarpal region, Right cuboideonavicular joint, Right cuneocuboid joint, Right cuneonavicular joint, Right distal radio-ulnar joint, Right ear, Right elbow, Right elbow joint, Right external acoustic tube, Right external ear, Right eye, Right fifth carpometacarpal joint, Right fifth tarsometatarsal joint, Right first intermetatarsal joint, Right first tarsometatarsal joint, Right fourth carpometacarpal joint, Right fourth intermetatarsal joint, Right fourth tarsometatarsal joint, Right free lower limb, Right free upper limb, Right glenohumeral joint, Right half of front of neck, Right half of inferior part of back of neck, Right helix, Right hip, Right hip joint, Right humeroradial joint, Right humeroulnar joint, Right infrascapular part of back, Right intercuneiform joint, Right intertarsal joint, Right knee, Right knee joint, Right lateral crest of philtrum, Right lateral half of external nose, Right lateral half of face, Right lateral half of nose, Right lateral half of trunk, Right lateral part of neck, Right lateral retromalleolar region, Right lateral-intermediate intercuneiform joint, Right lower eyelid, Right mandibular part proper of mouth, Right mastoid part of head, Right medial retromalleolar region, Right medial-intermediate intercuneiform joint, Right midcarpal joint, Right nasal sill, Right olecranon region, Right paravertebral region of back of neck, Right parietal part of head, Right parietal wall of head proper, Right patellofemoral joint, Right peri-orbital region of face, Right pinna, Right pisiform joint, Right pisotriquetral joint, Right proximal radio-ulnar joint, Right retro-auricular part of head, Right sacroiliac joint, Right scapular part of back, Right second carpometacarpal joint, Right second intermetatarsal joint, Right second tarsometatarsal joint, Right shoulder, Right side of chin, Right side of head, Right side of lower lip, Right side of lower lip proper, Right side of maxillary alveolodental arch, Right side of upper lip, Right side of upper lip proper, Right sternoclavicular joint, Right supra-auricular part of head, Right supratragic tubercle, Right talocalcaneal joint, Right talocalcaneonavicular joint, Right tarsometatarsal joint, Right temple, Right temporal part of head, Right temporal part proper of head, Right third carpometacarpal joint, Right third intermetatarsal joint, Right third tarsometatarsal joint, Right tibiofemoral joint, Right tragus, Right transverse tarsal joint, Right upper eyelid, Right wrist, Right wrist joint, Rim of helix, Root of nose, Sacro-iliac joint, Sacro-iliac region, Sacrococcygeal region of back, Scapho-lunate joint, Scapho-trapezial joint, Scapular part of back, Scapular part of left shoulder, Scapular part of right shoulder, Scapular region of shoulder, Second carpometacarpal joint, Second intermetatarsal joint, Second tarsometatarsal joint, Segment of wrist, Shoulder, Side of face, Spine of helical part of left pinna, Spine of helix, Spine of right helix, Sternoclavicular joint, Subdivision of anterior part of knee, Subdivision of auriculotemporal part of head, Subdivision of axilla, Subdivision of back, Subdivision of back of neck, Subdivision of back of thorax, Subdivision of body proper, Subdivision of body wall, Subdivision of cardinal body part, Subdivision of cheek, Subdivision of conchal part of pinna, Subdivision of external acoustic tube, Subdivision of external ear, Subdivision of external nose, Subdivision of face, Subdivision of front of neck, Subdivision of front of trunk, Subdivision of frontal part of head, Subdivision of head, Subdivision of head proper, Subdivision of helix, Subdivision of hip, Subdivision of mouth, Subdivision of neck, Subdivision of pinna, Subdivision of shoulder, Subdivision of temporal part of head, Subdivision of trunk, Subdivision of trunk proper, Subdivision of wall of head proper, Superior part of back of neck, Superolateral region of buttock, Superolateral region of left buttock, Superolateral region of right buttock, Superomedial region of buttock, Superomedial region of left buttock, Superomedial region of right buttock, Supra-auricular part of head, Supraclavicular part of neck, Suprasternal notch region of neck, Supratragic tubercle, Synovial joint of finger, Synovial joint of foot, Synovial joint of free lower limb segment, Synovial joint of free upper limb segment, Synovial joint of hand, Synovial joint of index finger, Synovial joint of little finger, Synovial joint of middle finger, Synovial joint of ring finger, Synovial joint of thumb, Tail of helix, Tail of left helix, Tail of right helix, Talocalcaneal joint, Talocalcaneonavicular joint, Tarsometatarsal joint, Temple, Temple region of left temporal part of head, Temple region of right temporal part of head, Temple region of temporal part of head, Temporal part of head, Temporal part proper of head, Third carpometacarpal joint, Third intermetatarsal joint, Third tarsometatarsal joint, Thoracic segment of body wall, Thoracic segment of trunk, Thoracolumbar part of back, Throat, Tibiofemoral joint, Tip of nose, Tragus, Transverse tarsal joint, Triangular fossa of antihelix, Triangular fossa of left antihelix, Triangular fossa of right antihelix, Trunk, Trunk proper, Tubercle of left pinna, Tubercle of pinna, Tubercle of right pinna, Tubercle of upper lip, Upper eyelid, Upper lip, Upper lip proper, Upper part of back of thorax, Vermilion, Vermilion border region, Vermilion border region of left side of upper lip, Vermilion border region of lower lip, Vermilion border region of philtrum, Vermilion border region of right side of upper lip, Vermilion border region of upper lip, Vermilion complex, Vermilion of left side of upper lip, Vermilion of lower lip, Vermilion of philtrum, Vermilion of right side of upper lip, Vermilion of upper lip, Vermilion proper, Vermilion proper of left side of upper lip, Vermilion proper of lower lip, Vermilion proper of philtrum, Vermilion proper of right side of upper lip, Vermilion proper of upper lip, Vertebral part of back of abdomen, Vertebral part of cervicothoracic region of back, Vertebral part of lumbosacral region of back, Vertebral part of sacrococcygeal region of back, Vertebral part of thoracolumbar region of back, Vertebral region of back, Vertebral region of back of neck, Vestibular part of mouth, Waist, Wall of abdominal segment of trunk, Wall of axilla, Wall of external acoustic tube, Wall of external part of external acoustic tube, Wall of external part of left external acoustic tube, Wall of external part of right external acoustic tube, Wall of head proper, Wall of inner part of external acoustic tube, Wall of inner part of left external acoustic tube, Wall of inner part of right external acoustic tube, Wall of left axilla, Wall of left external acoustic tube, Wall of middle part of external acoustic tube, Wall of middle part of left external acoustic tube, Wall of middle part of right external acoustic tube, Wall of right axilla, Wall of right external acoustic tube, Wall of subdivision of external acoustic tube, Wrist, Zygomatic part of cheek, Zygomatic part of left cheek, Zygomatic part of right cheek, other site, unknown","","TRUE","","","","string","","","",""
"vitiligoPattern","A high-level classification of vitiligo based on the distribution and patterning of lesions across the body.","mixed, non-segmental, segmental, unclassified","","FALSE","","","","string","","","",""
"vitiligoPhenotype","Classification of vitiligo lesions which correlate with autoimmune activity and result in specific skin and depigmentation manifestations at the lesion site. If N/A please select 'none'. Multiple selections can be provided in a comma-delimited list.","active, confetti, inflammatory, none, trichrome","","TRUE","","","list like error","string_list","","","",""
"psoriasisType","General type classification of psoriasis disease manifestation.","erythrodermic, guttate, inverse, plaque, pustular","","FALSE","","","","string","","","",""
"ageDiagnosis","Age at which subject was diagnosed with `diagnosis`. If providing this value be sure the unit matches that used for `age`.","","","FALSE","","","num error","number","","","",""
"age","Age at which subject was enrolled in study or age at corresponding visit and data collection event. If value unknown, enter '-1'.","","","TRUE","","","num error","number","","","",""
"ageUnits","The unit of measure used for `ageEnrollment` and `ageDiagnosis`","months, years","","TRUE","","","","string","","","",""
"sex","A textual description of a person's sex at birth.","female, intersex, male, unknown","","TRUE","","","","string","","","",""
"height","Standing height of subject.","","","TRUE","","","num error","number","","","",""
"race","A textual description of a person's race.","American Indian or Alaska Native, Asian, Black or African American, Hispanic, Mixed Race, Native Hawaiian or Other Pacific Islander, White, other, unknown","","FALSE","","","","string","","","",""
"ethnicity","The ethnicity of a person.","Hispanic or Latino, Not Hispanic or Latino, unknown","","FALSE","","","","string","","","",""
"heightUnits","Unit of measure of value provided for `height`.","centimeters, feet, inches, meters","","TRUE","","","","string","","","",""
"weight","Weight of subject. If value unknown, enter '-1'.","","","TRUE","","","num error","number","","","",""
"weightUnits","Abbreviated unit of measure of value provided for `weight`.","g, kg, lb, oz","","TRUE","","","","string","","","",""
"comorbidities","Any diseases or medical condition that is simultaneously present in addition to `diagnosis`.","Hashimoto's Thyroiditis, autoimmune thyroid disease, cardiovascular disease, diabetes, inflammatory bowel disease, multiple sclerosis, other, psoriasis, psoriatic arthritis, pulmonary disease, rheumatoid arthritis, systemic lupus erythematosus","","FALSE","","","list like error","string_list","","","",""
"diabetesType","Type of diabetes mellitus.","gestational, type 1, type 2, unknown","","FALSE","","","","string","","","",""
"VIDA","Vitiligo Disease Activity Score, a six-point scale that evaluates the activity of vitiligo","","","FALSE","","","","string","","","",""
"VASI","Total body Vitiligo Area Severity Index, a measure of the percentage of vitiligo involvement across the body calculated in terms of hand units.","","","FALSE","","","","string","","","",""
"VETI","Vitiligo Extent Tensity Index measures the extent of vitiligo by a numerical score and combines analysis of extensity and severity of vitiligo to produce a constant and reproducible number.","","","FALSE","","https://doi.org/10.5826/dpc.0404a18","num error","number","","","",""
"PASI","Psoriasis Area and Severity Index, is a measurement of the discoloration, thickness, scaling, and coverage of psoriasis plaques.","","","FALSE","","","","string","","","",""
"CDASI","Cutaneous Dermatomyositis Disease Area and Severity Index, is a measurement used to characterize cutaneous dermatomyositis severity.","","","FALSE","","","","string","","","",""
"inputCellCount","An estimate of the number of cells expected to be sequenced in a library. Software that process single-cell sequencing data often include options for users to specify this value to improve processing results.","","","TRUE","","","int error","integer","","","",""
"totalReads","Total number of reads sequenced from the library.","","","TRUE","","","int error","integer","","","",""
"FACSPopulation","A description of the marker gating strategy used to derive the population cells with FACS.","","","TRUE","","","","string","","","",""
"cellType","The cell type name from Cell Ontology for the corresponding CL identifier.","","","FALSE","","","","string","","","",""
"userDefinedCellType","User-defined label of a cell type. Contributors are provided this option to use preferred or custom cell type labels that may vary from options and standards set by Cell Ontology.","","","FALSE","","","","string","","","",""
"krennInflammatory","A standardized, semi-quantitative measure of the degree of inflammatory infiltrate in synovial specimen. This is one of three measures used to derive the Krenn Synovitis Score (KSS) which is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis. If value unknown, enter '-1'.","","","FALSE","","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error","number","","","",""
"krennLining","A standardized, semi-quantitative measure of the degree of hyperplasia/enlargement of the synovial lining layer of synovial specimen. This is one of three measures used to derive the Krenn Synovitis Score (KSS) which is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis. If value unknown, use '-1'.","","","FALSE","","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error","number","","","",""
"krennStroma","A standardized, semi-quantitative measure of stromal cell density of synovial specimen. This is one of three measures used to derive the Krenn Synovitis Score (KSS) which is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis. If value unknown, enter '-1'.","","","FALSE","","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error","number","","","",""
"krennSynovitisScore","The Krenn Synovitis Score (KSS) is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis. If value unknown, use '-1'.","","","FALSE","","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error","number","","","",""
"datasetStatus","A categorical label indicating the status of an ARK Portal dataset. This is applied to improve downstream management of datasets as well as various ETL workflows.","deprecated, released, test, under peer review, unreleased","","TRUE","","","","string","","","",""
"sampleProcessingBatch","A label indicating batching of sample processing or preparation that occurs prior to data collection.","","","FALSE","","","","string","","","",""
"dataCollectionBatch","A label indicating batching that occurs during data collection, e.g., collecting data across multiple days.","","","FALSE","","","","string","","","",""
"metadataStandards","Metadata standards used to generate the metadata","ARK data model, user-defined","","FALSE","","","","string","","","",""
"skinSunExposure","For skin-based biospecimen, this attribute indicates whether the sample was collected from an anatomical site that does or does not receive routine sun exposure.","not sun exposed, sun exposed","","FALSE","","","","string","","","",""
"sequencingSpikeIn","Pre-made sequencing libraries may be added to your sequencing run to improve sequencing results. If such a 'spike-in' library was used, this attribute specifies the name of the library and the percentage of the spike-in library used in the sequencing run.","","","FALSE","","","","string","","","",""
"librarySpikeIn","Pre-made collections of nucleic acid fragments can be added to samples during the library construction process to improve downstream quantification and statistical analyses. If such a 'spike-in' was used, this attribute specifies the name and manufacturer of the spike-in.","","","FALSE","","","","string","","","",""
"readLength","The number of base pairs (bp) sequenced for reads in a fastq file.","","","FALSE","","","int error","integer","","","",""
"AMP RA/SLE","Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","programPhase","FALSE","","","","","","","",""
"plateID","An identifier assigned to a multi-well plate. Certain data types and assays profile samples using multi-well plates. Knowing which samples were profiled on each plate is important for establishing sample provenance, finding the right data files for a specific set of samples, as well as downstream exploratory data analysis and QC work particularly regarding identification and correction of batch effects.","","","FALSE","","","","string","","","",""
"processedDataType","A label used for file annotations to provide a brief description of the processed data file.","barcode counts, differential expression results, epigenomic peaks, gene counts","","FALSE","","","list like error","string_list","","","",""
"eventCount","The total number of events detected and captured in the corresponding FCS file. In cytometry, an event corresponds to particles detected and measured by the instrument. This number corresponds to the number of rows in the FCS file and is expected to be a whole integer number.","","","FALSE","","","int error","integer","","","",""
"notes","Please use this attribute to captured pertinent details not otherwise captured. This is an unstructured text entry, please be concise.","","","FALSE","","","","string","","","",""
"species","The genus species of sample or subject origin.","Homo sapiens","","TRUE","","","","string","","","",""
"treatment","A short descriptive label indicating what experimental treatments have been applied to a biospecimen before data capture. Please include the word 'control' to indicate specific treatments that are intended to serve as a control group.","","","TRUE","","","","string","","","",""
"treatmentTimepoint","Where applicable, specify the timepoint relative to treatment to distinguish different sets of samples that have undergone the same treatment but for different lengths of time. REQUIRED: please specify the unit of time, e.g., secs, mins, hrs, days, etc.","","","FALSE","","","","string","","","",""
"slideID","A distinct label or name, unique within an experiment, assigned to an imaging slides.","","","TRUE","","","","string","","","",""
"altSampleID","An alternate identifier for a sample. With some assays there can be default or alternate sample identifiers entered into the data collection software. If you will be uploading data collected with an alternate identifier please provide that here. In some cases, the ARK BDM team will use this field to capture original but out-dated identifiers for samples.","","","FALSE","","","","string","","","",""
"sampleCollectionBatch","A label indicating batching of sample collection or experiment execution that occurs prior to data collection.","","","FALSE","","","","string","","","",""
"associatedAccession","This is a File and Dataset annotation attribute indicating additional accessions (i.e., unique identifiers) associated with the data when the data has also been submitted to or can be found in other repositories such as GEO, SRA, dbGaP, etc.","","","FALSE","","","list like error","string_list","","","",""
